,word_from,lemma,pos
0,долины,долина,"S,жен,неод=(вин,мн|род,ед|им,мн)"
1,Пенея,пенеть,"V,несов,нп=непрош,деепр"
2,недавно,недавно,ADV=
3,Дафна,дафна,"S,имя,жен,од=им,ед"
4,ветку,ветка,"S,жен,неод=вин,ед"
5,перенесши,перенести,"V,сов=прош,деепр"
6,входе,вход,"S,муж,неод=пр,ед"
7,Дельфийский,дельфийский,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
8,бессметной,бессметный,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
9,толпою,толпа,"S,жен,неод=твор,ед"
10,древом,древо,"S,сред,неод=твор,ед"
11,бросая,бросать,"V=непрош,деепр,несов,пе"
12,стало,становиться,"V,нп=прош,ед,изъяв,сред,сов"
13,чистейшей,чистый,"A=(пр,ед,полн,прев,жен|дат,ед,полн,прев,жен|род,ед,полн,прев,жен|твор,ед,полн,прев,жен)"
14,водою,вода,"S,жен,неод=твор,ед"
15,черпал,черпать,"V,несов,пе=прош,ед,изъяв,муж"
16,Кастальских,кастальский,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
17,вянет,вянуть,"V,несов,нп=непрош,ед,изъяв,3-л"
18,прискорбьем,прискорбие,"S,сред,неод=твор,ед"
19,воззренье,воззрение,"S,сред,неод=(пр,ед|вин,ед|им,ед)"
20,народов,народ,"S,муж,неод=род,мн"
21,вселенной,вселенная,"S,жен,неод=(пр,ед|дат,ед|род,ед|твор,ед)"
22,храму,храм,"S,муж,неод=дат,ед"
23,цветами,цветок,"S,муж,неод=твор,мн"
24,златом,златой,"A=(пр,ед,полн,муж|пр,ед,полн,сред)"
25,видеть,видеть,"V,несов,пе=инф"
26,древо,древо,"S,сред,неод=(вин,ед|им,ед)"
27,тускнеет,тускнеть,"V,несов,нп=непрош,ед,изъяв,3-л"
28,причину,причина,"S,жен,неод=вин,ед"
29,перемены,перемена,"S,жен,неод=(вин,мн|род,ед|им,мн)"
30,отвечало,отвечать,"V,нп=прош,ед,изъяв,сред,несов"
31,умираю,умирать,"V,нп=непрош,ед,изъяв,1-л,несов"
32,храме,храм,"S,муж,неод=пр,ед"
33,святыню,святыня,"S,жен,неод=вин,ед"
34,ноги,нога,"S,жен,неод=(вин,мн|род,ед|им,мн)"
35,вижу,видеть,"V,несов,пе=непрош,ед,изъяв,1-л"
36,маком,мак,"S,муж,неод=твор,ед"
37,ними,они,"SPRO,мн=твор"
38,спорю,спорить,"V,несов,нп=непрош,ед,изъяв,1-л"
39,мысли,мысль,"S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн)"
40,разу,раз,"S,муж,неод=(дат,ед|парт,ед)"
41,видеть,видеть,"V,несов,пе=инф"
42,счастье,счастие,"S,сред,неод=(пр,ед|вин,ед|им,ед)"
43,благосклонность,благосклонность,"S,жен,неод=(вин,ед|им,ед)"
44,мученье,мучение,"S,сред,неод=(пр,ед|вин,ед|им,ед)"
45,отныне,отныне,ADV=
46,листьем,листие,"S,сред,неод=твор,ед"
47,стану,становиться,"V,нп=непрош,ед,изъяв,1-л,сов"
48,украсишь,украшать,"V=непрош,ед,изъяв,2-л,сов"
49,победоносных,победоносный,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
50,Дельфийском,дельфийский,"A=(пр,ед,полн,муж|пр,ед,полн,сред)"
51,согласно,согласно,ADV=
52,виде,вид,"S,муж,неод=пр,ед"
53,друга,друг,"S,муж,од=(вин,ед|род,ед)"
54,бледных,бледный,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
55,невесты,невеста,"S,жен,од=(род,ед|им,мн)"
56,оживает,оживать,"V,нп=непрош,ед,изъяв,3-л,несов"
57,оживилось,оживляться,"V,нп=прош,ед,изъяв,сред,сов"
58,отрадой,отрада,"S,жен,неод=твор,ед"
59,ныне,ныне,ADV=
60,увядало,увядать,"V,несов,нп=прош,ед,изъяв,сред"
61,Япета,япет,"S,муж,од=(вин,ед|род,ед)"
62,однажды,однажды,ADV=
63,сказала,сказать,"V,сов,пе=прош,ед,изъяв,жен"
64,человека,человек,"S,муж,од=(вин,ед|род,ед)"
65,тайно,тайно,ADV=
66,похищенной,похищать,"V,пе=(прош,пр,ед,прич,полн,жен,сов,страд|прош,дат,ед,прич,полн,жен,сов,страд|прош,род,ед,прич,полн,жен,сов,страд|прош,твор,ед,прич,полн,жен,сов,страд)"
67,ли,ли,PART=
68,Зевеса,зевес,"S,муж,од=(вин,ед|род,ед)"
69,деянье,деяние,"S,сред,неод=(пр,ед|вин,ед|им,ед)"
70,невозможно,невозможно,ADV=
71,мужа,муж,"S,муж,од=(вин,ед|род,ед)"
72,грубых,грубый,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
73,искусством,искусство,"S,сред,неод=твор,ед"
74,созданья,создание,"S,сред,неод=(вин,мн|род,ед|им,мн)"
75,подобны,подобный,"A=мн,кр"
76,умеет,уметь,"V,несов,нп=непрош,ед,изъяв,3-л"
77,своими,свой,"APRO=твор,мн"
78,очи,око,"S,сред,неод=(вин,мн|им,мн)"
79,богиня,богиня,"S,жен,од=им,ед"
80,предмета,предмет,"S,муж,неод=род,ед"
81,взоры,взор,"S,муж,неод=(вин,мн|им,мн)"
82,собирает,собирать,"V=непрош,ед,изъяв,3-л,несов,пе"
83,ульев,улей,"S,муж,неод=род,мн"
84,чистейший,чистый,"A=(вин,ед,полн,прев,муж,неод|им,ед,полн,прев,муж)"
85,нектаром,нектар,"S,муж,неод=твор,ед"
86,душистый,душистый,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
87,перстами,перст,"S,муж,неод=твор,мн"
88,краски,краска,"S,жен,неод=(вин,мн|род,ед|им,мн)"
89,отходит,отходить,"V,нп=непрош,ед,изъяв,3-л,несов"
90,сидя,сидеть,"V,несов,нп=непрош,деепр"
91,прозрачном,прозрачный,"A=(пр,ед,полн,муж|пр,ед,полн,сред)"
92,лика,лика,"S,имя,жен,од=им,ед"
93,влаге,влага,"S,жен,неод=(пр,ед|дат,ед)"
94,исскуством,исскуство,"S,сред=(твор,ед,од|твор,ед,неод)"
95,молодое,молодой,"A=(вин,ед,полн,сред|им,ед,полн,сред)"
96,очи,око,"S,сред,неод=(вин,мн|им,мн)"
97,ланиты,ланита,"S,жен,неод=(вин,мн|род,ед|им,мн)"
98,манящи,манящий,"A=мн,кр"
99,густыми,густой,"A=твор,мн,полн"
100,ниспадая,ниспадать,"V,нп=непрош,деепр,несов"
101,эпанчею,эпанча,"S,жен,неод=твор,ед"
102,покрывают,покрывать,"V=непрош,мн,изъяв,3-л,несов,пе"
103,образ,образ,"S,муж,неод=(вин,ед|им,ед)"
104,богиней,богиня,"S,жен,од=твор,ед"
105,сходстве,сходство,"S,сред,неод=пр,ед"
106,уступая,уступать,"V,пе=непрош,деепр,несов"
107,сверкает,сверкать,"V,несов,нп=непрош,ед,изъяв,3-л"
108,жизни,жизнь,"S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн)"
109,недвижным,недвижный,"A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред)"
110,приближает,приближать,"V=непрош,ед,изъяв,3-л,несов,пе"
111,животворящи,животворящий,"A=мн,кр"
112,редко,редко,ADV=
113,обольщает,обольщать,"V=непрош,ед,изъяв,3-л,несов,пе"
114,Венере,венера,"S,имя,жен,од=(пр,ед|дат,ед)"
115,жену,жена,"S,жен,од=вин,ед"
116,видит,видеть,"V,несов,пе=непрош,ед,изъяв,3-л"
117,изумленьем,изумление,"S,сред,неод=твор,ед"
118,нежнейшей,нежный,"A=(пр,ед,полн,прев,жен|дат,ед,полн,прев,жен|род,ед,полн,прев,жен|твор,ед,полн,прев,жен)"
119,тело,тело,"S,сред,неод=(вин,ед|им,ед)"
120,стебель,стебель,"S,муж,неод=(вин,ед|им,ед)"
121,некрасивый,некрасивый,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
122,листья,лист,"S,муж,неод=(вин,мн|им,мн)"
123,мелки,мелкий,"A=мн,кр"
124,прекрасной,прекрасный,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
125,явился,являться,"V,нп=прош,ед,изъяв,муж,сов"
126,миловиден,миловидный,"A=ед,кр,муж"
127,прелестен,прелестный,"A=ед,кр,муж"
128,полон,полный,"A=ед,кр,муж"
129,Киприда,киприд,"S,фам,муж,од=(вин,ед|род,ед)"
130,печальна,печальный,"A=ед,кр,жен"
131,видя,видеть,"V,несов,пе=непрош,деепр"
132,мыслью,мысль,"S,жен,неод=твор,ед"
133,стала,становиться,"V,нп=прош,ед,изъяв,жен,сов"
134,Розы,роза,"S,жен,неод=(вин,мн|род,ед|им,мн)"
135,равнинах,равнина,"S,жен,неод=пр,мн"
136,розу,роза,"S,жен,неод=вин,ед"
